H,V,C,MUNSELL_NAME,x,y,Y,OKLCH_L,OKLCH_C,OKLCH_h,sRGB_R,sRGB_G,sRGB_B,IN_SRGB_GAMUT,FAKE_MUNSEL
7.5R,0.4,2,7.5R 0.4/2,0.466,0.272,0.467,0.1722344339,0.05378886383,5.956037354,0.1324618297,0.01588722061,0.0480609224,TRUE,FALSE
10R,0.4,2,10R 0.4/2,0.49,0.289,0.467,0.1720813067,0.05318223884,12.06776889,0.133361992,0.01640013745,0.03723777175,TRUE,FALSE
2.5YR,0.4,2,2.5YR 0.4/2,0.534,0.324,0.467,0.171693694,0.05232895966,24.41164829,0.1335242807,0.01829604878,0.01845237362,TRUE,FALSE
5YR,0.4,2,5YR 0.4/2,0.585,0.367,0.467,0.1712643259,0.05371007191,39.2259746,0.1329886175,0.02063366466,0.0007274409037,TRUE,FALSE
2.5GY,0.6,2,2.5GY 0.6/2,0.377,0.468,0.699,0.1878454667,0.03476066129,119.5628513,0.06846930969,0.08413281036,0.01447423597,TRUE,FALSE
5GY,0.6,2,5GY 0.6/2,0.342,0.442,0.699,0.1873836668,0.0307480842,130.3230407,0.05684040676,0.08606469921,0.02778076626,TRUE,FALSE
7.5GY,0.6,2,7.5GY 0.6/2,0.315,0.42,0.699,0.187013791,0.02861710686,141.316103,0.04594048502,0.08753746453,0.03982435859,TRUE,FALSE
10GY,0.6,2,10GY 0.6/2,0.292,0.399,0.699,0.186702398,0.02765860136,152.5981862,0.0348889717,0.08872409413,0.05097976693,TRUE,FALSE
2.5G,0.6,2,2.5G 0.6/2,0.281,0.388,0.699,0.1865579796,0.02755092446,158.573982,0.02932584124,0.08925627085,0.05645728484,TRUE,FALSE
5G,0.6,2,5G 0.6/2,0.27,0.376,0.699,0.186424317,0.0276548596,164.9293703,0.02375731125,0.08973695584,0.06220296994,TRUE,FALSE
7.5G,0.6,2,7.5G 0.6/2,0.259,0.363,0.699,0.1863015257,0.02804072522,171.624023,0.01813682532,0.09016599129,0.06825850521,TRUE,FALSE
10G,0.6,2,10G 0.6/2,0.247,0.349,0.699,0.1861488062,0.02914062009,178.7529546,0.01147126188,0.09068325185,0.07482238999,TRUE,FALSE
2.5BG,0.6,2,2.5BG 0.6/2,0.236,0.334,0.699,0.1860461617,0.03037332786,185.7202082,0.005531679106,0.09100999132,0.08165663005,TRUE,FALSE
7.5B,0.6,2,7.5B 0.6/2,0.204,0.235,0.699,0.1875391445,0.03607738117,231.5352054,0.00393108147,0.08559381756,0.1270288476,TRUE,FALSE
10B,0.6,2,10B 0.6/2,0.209,0.227,0.699,0.1882006708,0.03476467316,239.9184262,0.01469220284,0.08317517469,0.1303970392,TRUE,FALSE
2.5PB,0.6,2,2.5PB 0.6/2,0.215,0.221,0.699,0.1888615151,0.03362001862,248.6383806,0.02661075007,0.08065094711,0.1327099783,TRUE,FALSE
5PB,0.6,2,5PB 0.6/2,0.223,0.215,0.699,0.1896691683,0.03291908508,259.8390212,0.04219059108,0.07739057983,0.1348278484,TRUE,FALSE
5PB,0.6,4,5PB 0.6/4,0.182,0.16,0.699,0.190077539,0.05824200305,255.6286048,0.005992762271,0.07557674531,0.1765039003,TRUE,FALSE
7.5PB,0.6,2,7.5PB 0.6/2,0.239,0.208,0.699,0.1910471546,0.03357614861,279.4806061,0.06645809587,0.07127995056,0.1364515611,TRUE,FALSE
7.5PB,0.6,4,7.5PB 0.6/4,0.208,0.155,0.699,0.1927678832,0.05673388027,278.573832,0.06076355128,0.06358510595,0.176710903,TRUE,FALSE
7.5PB,0.6,6,7.5PB 0.6/6,0.188,0.117,0.699,0.1951368641,0.07924919799,277.9052524,0.05788352133,0.05118379537,0.2165867295,TRUE,FALSE
7.5PB,0.6,8,7.5PB 0.6/8,0.176,0.092,0.699,0.1978365739,0.09903801857,277.3264093,0.05784048827,0.033523632,0.2526856585,TRUE,FALSE
7.5PB,0.6,10,7.5PB 0.6/10,0.168,0.074,0.699,0.2009127532,0.1175236839,276.7501136,0.0599678982,0.01143595118,0.2875232812,TRUE,FALSE
10PB,0.6,2,10PB 0.6/2,0.257,0.204,0.699,0.1923621126,0.03671977937,297.0145943,0.08666465652,0.06462089642,0.1361230077,TRUE,FALSE
10PB,0.6,4,10PB 0.6/4,0.237,0.157,0.699,0.194831715,0.05933399868,298.1303854,0.09658688864,0.05150365801,0.1707670073,TRUE,FALSE
10PB,0.6,6,10PB 0.6/6,0.225,0.124,0.699,0.1978071237,0.08095021909,299.7545438,0.1095236266,0.03158806943,0.2029197409,TRUE,FALSE
10PB,0.6,8,10PB 0.6/8,0.216,0.098,0.699,0.2014989631,0.1036407351,301.0909696,0.1246724494,0.004624693149,0.2367676254,TRUE,FALSE
2.5P,0.6,2,2.5P 0.6/2,0.272,0.205,0.699,0.1931433116,0.03905434429,307.5336932,0.09892339794,0.06008928893,0.133322286,TRUE,FALSE
2.5P,0.6,4,2.5P 0.6/4,0.258,0.16,0.699,0.1959994143,0.06289864394,308.9430944,0.1150093469,0.04276437079,0.1652182037,TRUE,FALSE
2.5P,0.6,6,2.5P 0.6/6,0.25,0.129,0.699,0.1991615794,0.08528801563,310.5717652,0.1320825039,0.01921113775,0.1937251534,TRUE,FALSE
5P,0.6,2,5P 0.6/2,0.287,0.207,0.699,0.1938158911,0.04169187871,316.115476,0.1092993909,0.05575570737,0.1299223104,TRUE,FALSE
5P,0.6,4,5P 0.6/4,0.28,0.166,0.699,0.1968042438,0.06565663861,317.6783709,0.1291217101,0.03525450161,0.1573043733,TRUE,FALSE
5P,0.6,6,5P 0.6/6,0.274,0.136,0.699,0.1999377467,0.08825136094,318.4696791,0.1474372326,0.01072842913,0.1830431882,TRUE,FALSE
7.5P,0.6,2,7.5P 0.6/2,0.301,0.211,0.699,0.1942617445,0.04340205464,322.6841688,0.1169067135,0.05251321462,0.1255419998,TRUE,FALSE
7.5P,0.6,4,7.5P 0.6/4,0.296,0.17,0.699,0.1973567111,0.06822826371,323.0742976,0.1381984079,0.0297830214,0.1519097704,TRUE,FALSE
7.5P,0.6,6,7.5P 0.6/6,0.292,0.141,0.699,0.200458103,0.09084558271,323.4522227,0.1572900014,0.004635149268,0.1755430771,TRUE,FALSE
10P,0.6,2,10P 0.6/2,0.311,0.214,0.699,0.1945511416,0.04469558951,326.8647874,0.1218263605,0.05025378867,0.1223465482,TRUE,FALSE
10P,0.6,4,10P 0.6/4,0.308,0.174,0.699,0.1976410531,0.06949369264,326.6301671,0.1437044137,0.02664249111,0.1472120338,TRUE,FALSE
10P,0.6,6,10P 0.6/6,0.306,0.145,0.699,0.2008017092,0.09275049462,326.870015,0.1640047148,0.0003126147529,0.1697487909,TRUE,FALSE
2.5RP,0.6,2,2.5RP 0.6/2,0.322,0.218,0.699,0.1948054671,0.04582194732,331.0606026,0.1265102066,0.04809318003,0.118468206,TRUE,FALSE
